Steps,Manhattan Distance
1,8
2,6
3,6
4,4
5,6
6,8
7,6
8,6
9,8
10,6
11,14
12,12
13,10
14,8
15,6
16,12
17,10
18,8
19,6
20,6
21,6
22,4
23,2
24,0
